Product Name,New Price,Old Price,Discount (%),Brand,Items Left,Rating,Time Left,URL
"MATIHO   Electric hair clippers, bald head shaver, razor, hairdressing electric trimmer, oil head carving, edging electric hair shears",KSh 302,KSh 460,34%,MATIHO,N/a,3.7 out of 5,N/A,https://www.jumia.co.ke/matiho-electric-hair-clippers-bald-head-shaver-razor-hairdressing-electric-trimmer-oil-head-carving-edging-electric-hair-shears-253894863.html
"Kuhl KUHL K1 20,000mAh Power Bank – High-Capacity Portable Charger for Phones & USB Devices",KSh 690,"KSh 1,340",49%,Kuhl,N/a,3.7 out of 5,N/A,https://www.jumia.co.ke/kuhl-kuhl-k1-20000mah-power-bank-high-capacity-portable-charger-for-phones-usb-devices-326556329.html
BLWOENS Men's Formal Shoes Tuxedo Dress Shoes Classic Oxfords Faux Patent Leather Shoe Lace-up Dress Shoes for Business Wedding Suit - Black,KSh 799,"KSh 2,025",61%,BLWOENS,N/a,3.7 out of 5,N/A,https://www.jumia.co.ke/blwoens-mens-formal-shoes-tuxedo-dress-shoes-classic-oxfords-faux-patent-leather-shoe-lace-up-dress-shoes-for-business-wedding-suit-black-269541532.html
GUEETON 128GB Metal OTG Usb Flash Drive Waterproof 3D Embossment,KSh 632,KSh 936,32%,GUEETON,N/a,3.5 out of 5,N/A,https://www.jumia.co.ke/gueeton-128gb-metal-otg-usb-flash-drive-waterproof-3d-embossment-91921997.html
"Kuhl KUHL K2 20,000mAh Power Bank – High-Capacity Portable Charger for Phones & USB Devices","KSh 2,025","KSh 2,700",25%,Kuhl,N/a,4 out of 5,N/A,https://www.jumia.co.ke/kuhl-kuhl-k2-20000mah-power-bank-high-capacity-portable-charger-for-phones-usb-devices-326556308.html
FUXING FASHION Shoes For Women Breathable And Non Slip Sneakers Ladies Shoes Sneakers,KSh 392,KSh 859,54%,FUXING FASHION,N/a,3.5 out of 5,N/A,https://www.jumia.co.ke/fuxing-fashion-shoes-for-women-breathable-and-non-slip-sneakers-ladies-shoes-sneakers-58975592.html
G03 Neckband Wireless Bluetooth In-Ear Sports Earphone Headset,KSh 299,KSh 587,49%,Easy and safer payments via the JumiaPay App.,N/a,3.6 out of 5,N/A,https://www.jumia.co.ke/generic-g03-neckband-wireless-bluetooth-in-ear-sports-earphone-headset-169371598.html
EAGEAT Pen Flash Drive 3.0 128GB - Metal OTG Micro USB Type-C,KSh 599,KSh 806,26%,EAGEAT,N/a,3.4 out of 5,N/A,https://www.jumia.co.ke/eageat-pen-flash-drive-3.0-128gb-metal-otg-micro-usb-type-c-299556625.html
Genera 2 Pieces Motorcycle Riding Full Face Mask Balaclava with Detachable Goggles for Dust Protection,KSh 644,KSh 967,33%,Genera,N/a,3.9 out of 5,N/A,https://www.jumia.co.ke/genera-2-pieces-motorcycle-riding-full-face-mask-balaclava-with-detachable-goggles-for-dust-protection-309821477.html
GUEETON GUEETON Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover,KSh 386,"KSh 1,560",75%,GUEETON,N/a,3.4 out of 5,N/A,https://www.jumia.co.ke/gueeton-gueeton-wireless-earphones-bluetooth-5.3-finger-touch-headset-hifi-slide-cover-56804919.html
GUEETON 128GB usb Flash Drive metal hook with 3 in 1 OTG adapter usb cable,KSh 655,"KSh 1,215",46%,GUEETON,N/a,3.7 out of 5,N/A,https://www.jumia.co.ke/gueeton-128gb-usb-flash-drive-metal-hook-with-3-in-1-otg-adapter-usb-cable-319451716.html
GUEETON Fast Charge Powers Bank 20000mAh with waterproof storage bag,KSh 840,"KSh 2,010",58%,GUEETON,N/a,3.7 out of 5,N/A,https://www.jumia.co.ke/fast-charge-powers-bank-20000mah-gueeton-mpg8920854.html
EAGEAT Wireless Earpods Bluetooth 5.0 Earphones,KSh 359,"KSh 1,608",78%,EAGEAT,N/a,3.5 out of 5,N/A,https://www.jumia.co.ke/eageat-wireless-earpods-bluetooth-5.0-earphones-325726366.html
GtyGo 128 GB OTG Usb Flash Drive USB3.0  Adapter Type C 3 Units In 1 Set,KSh 623,"KSh 2,010",69%,GtyGo,N/a,3.3 out of 5,N/A,https://www.jumia.co.ke/gtygo-128-gb-otg-usb-flash-drive-usb3.0-adapter-type-c-3-units-in-1-set-321942160.html
GUEETON Stereo F9 Bluetooth Earphone  Power Headset,KSh 386,KSh 696,45%,GUEETON,N/a,3.6 out of 5,N/A,https://www.jumia.co.ke/gueeton-stereo-f9-bluetooth-earphone-power-headset-35221857.html
"Itel A06 6.6"" HD+, 64GB, 2GB RAM, 4000mAh - Black","KSh 8,335","KSh 9,000",7%,Itel,38 items left,3.5 out of 5,05d : 06h : 40m,https://www.jumia.co.ke/itel-a06-6.6-hd-64gb-2gb-ram-4000mah-black-326260375.html
"Samsung Galaxy A06, 6.7"", 4GB RAM+ 64GB (Dual SIM), 5000mAh, Black (1YR WRTY)","KSh 11,000","KSh 14,322",23%,Samsung,20 items left,4.2 out of 5,06h : 40m : 03s,https://www.jumia.co.ke/samsung-galaxy-a06-6.7-4gb-ram-64gb-dual-sim-5000mah-black-1yr-wrty-299889399.html
